"","lccode","year","campaign","location","cyear","target","tccode","navco1designation","camp_orgs","camp_size","camp_size_est","camp_conf_intensity","rad_flank","resis_meth","cdivers_gender","cdivers_age","cdivers_class","cdivers_urbrural","cdivers_ideol","cdivers_party","cdivers_regional","cdivers_ethnicity","cdivers_religion","camp_goals","goalschange","camp_structure","pi_educ","pi_socwel","pi_tradmedia","pi_newmedia","pi_police","pi_army","pi_dispute","media_outreach","repression","discrim","ab_domestic_con","ab_inter_con","ab_inter_reper","camp_backlash","sec_defect","state_defect","dom_media","regime_support","wdrwl_support","camp_support","ingo_support","dias_support","sdirect","slifted","in_media","success","progress","pop_opinion","reliability","id","prim_method"
"1",580,1991,"Active Forces","Madagascar",0,"Didier Radsiraka","580",1,2,3,2,0,1,0,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,1,1,1,0,1,0,1,1,3,1,NA,NA,NA,NA,1,0,2,1,0,0,0,0,0,0,2,0,3,NA,2,1,1
"2",580,1992,"Active Forces","Madagascar",1,"Didier Radsiraka","580",1,1,3,2,1,1,0,NA,NA,NA,1,NA,1,NA,NA,NA,0,0,0,1,1,1,0,1,0,1,1,3,0,NA,NA,NA,3,1,0,2,1,0,0,0,0,0,0,1,0,3,NA,2,1,1
"3",580,1993,"Active Forces","Madagascar",2,"Didier Radsiraka","580",1,0,3,2,1,1,0,NA,NA,NA,1,NA,1,NA,NA,NA,0,0,0,1,1,1,0,1,0,1,1,3,0,NA,NA,NA,3,1,0,2,1,0,0,0,0,0,0,1,1,4,0,2,1,1
"4",522,1993,"Afar insurgency","Djibouti",1,"Djibouti regime","522",0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,3,1,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,2,0
"5",522,1992,"Afar insurgency","Djibouti",1,"Djibouti regime","522",0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,3,1,1,1,0,3,0,1,2,1,0,0,0,1,0,0,0,0,2,0,3,2,0
"6",522,1994,"Afar insurgency","Djibouti",2,"Djibouti regime","522",0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,3,1,1,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,2,0,2,2,0
"7",522,1991,"Afar insurgency","Djibouti",0,"Djibouti regime","522",0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,3,1,0,1,0,3,0,1,2,1,0,0,1,1,0,0,0,0,1,0,3,2,0
"8",700,1988,"Afghan Resistance","Afghanistan",2,"Soviet occupation","364",0,0,3,2,3,0,0,1,1,1,1,1,1,1,1,1,5,0,0,1,1,1,0,0,1,1,1,3,1,1,1,1,3,1,NA,2,0,0,1,1,1,0,0,2,1,4,1,3,3,0
"9",700,1980,"Afghan Resistance","Afghanistan",1,"Soviet occupation","364",0,11,3,2,3,0,0,1,1,1,1,1,1,1,1,1,5,0,0,0,1,0,0,0,1,1,1,3,1,1,1,1,3,1,0,2,0,0,1,1,1,1,0,2,0,0,0,3,3,0
"10",700,1985,"Afghan Resistance","Afghanistan",1,"Soviet occupation","364",0,1,3,2,3,0,0,1,1,1,1,1,1,1,1,1,5,0,0,1,1,0,0,0,1,1,1,3,1,1,1,1,3,1,NA,2,0,0,1,1,1,0,0,2,0,2,1,3,3,0
"11",700,1987,"Afghan Resistance","Afghanistan",1,"Soviet occupation","364",0,0,3,2,3,0,0,1,1,1,1,1,1,1,1,1,5,0,0,1,1,1,0,0,1,1,1,3,1,1,1,1,3,1,0,2,0,0,1,1,1,0,0,2,0,3,1,3,3,0
"12",700,1984,"Afghan Resistance","Afghanistan",1,"Soviet occupation","364",0,0,3,2,3,0,0,1,1,1,1,1,1,1,1,1,5,0,0,0,1,0,0,0,1,1,1,3,1,1,1,1,3,1,0,2,0,0,1,1,1,0,0,2,0,0,1,3,3,0
"13",700,1986,"Afghan Resistance","Afghanistan",1,"Soviet occupation","364",0,0,3,2,3,0,0,1,1,1,1,1,1,1,1,1,5,0,0,1,1,1,0,0,1,1,1,3,1,1,1,1,3,1,0,2,0,0,1,1,1,0,0,2,0,3,1,3,3,0
"14",700,1979,"Afghan Resistance","Afghanistan",0,"Soviet occupation","364",0,11,NA,1,3,0,0,1,1,1,1,1,1,1,1,1,5,0,0,0,0,0,0,0,1,0,1,3,0,1,1,1,3,1,0,2,0,0,1,1,1,0,0,2,0,0,1,2,3,0
"15",700,1983,"Afghan Resistance","Afghanistan",1,"Soviet occupation","364",0,0,3,2,3,0,0,1,1,1,1,1,1,1,1,1,5,0,0,0,1,0,0,0,1,1,1,3,1,1,1,1,3,1,0,2,0,0,1,1,1,0,0,2,0,2,1,3,3,0
"16",700,1981,"Afghan Resistance","Afghanistan",1,"Soviet occupation","364",0,1,3,2,3,0,0,1,1,1,1,1,1,1,1,1,5,0,0,0,1,0,0,0,1,1,1,3,1,1,1,1,3,1,0,2,0,0,1,1,1,0,1,2,0,0,0,3,3,0
"17",700,1982,"Afghan Resistance","Afghanistan",1,"Soviet occupation","364",0,1,3,2,3,0,0,1,1,1,1,1,1,1,1,1,5,0,0,0,1,0,0,0,1,1,1,3,1,1,1,1,3,1,0,2,0,0,1,1,1,0,0,2,0,0,NA,3,3,0
"18",700,1978,"Afghans","Afghanistan",0,"Afghan government","700",0,3,1,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,1,0,NA,0,0,0,0,0,0,0,2,1,4,NA,2,4,0
"19",339,1990,"Albania Anti-Communist","Albania",1,"Communist regime","339",1,2,2,1,0,2,0,1,1,0,0,1,1,0,NA,NA,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,0,3,0,1,2,1,0,0,NA,1,0,0,1,0,3,NA,3,5,1
"20",339,1989,"Albania Anti-Communist","Albania",0,"Communist regime","339",1,0,NA,0,0,1,0,1,1,0,0,1,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,3,0,0,1,1,0,0,NA,1,0,0,0,0,2,NA,1,5,1
"21",339,1991,"Albania Anti-Communist","Albania",2,"Communist regime","339",1,2,5,3,2,2,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,2,1,1,1,0,3,0,1,2,1,0,0,NA,1,0,0,2,1,4,1,3,5,1
"22",615,1952,"Algerian Revolt/ National Liberation Front","Algeria",0,"French occupation","220",0,2,1,0,2,2,NA,NA,NA,1,1,1,NA,1,0,0,5,0,1,NA,NA,NA,NA,NA,1,NA,NA,3,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,0,NA,1,0,0,NA,2,6,1
"23",615,1960,"Algerian Revolt/ National Liberation Front","Algeria",1,"French occupation","220",0,NA,2,1,3,0,0,1,1,1,1,1,1,1,0,0,5,0,1,NA,NA,NA,NA,NA,1,NA,1,3,1,NA,1,1,3,NA,NA,2,NA,NA,1,NA,1,0,NA,2,0,0,NA,3,6,0
"24",615,1957,"Algerian Revolt/ National Liberation Front","Algeria",1,"French occupation","220",0,NA,2,1,3,0,0,1,1,1,1,1,1,1,0,0,5,0,1,NA,NA,1,NA,NA,1,NA,1,3,1,NA,1,1,3,NA,NA,2,NA,NA,1,NA,1,NA,NA,2,0,0,NA,3,6,0
"25",615,1953,"Algerian Revolt/ National Liberation Front","Algeria",1,"French occupation","220",0,NA,1,0,2,2,0,NA,NA,NA,NA,1,0,NA,0,0,5,0,1,NA,NA,NA,NA,NA,1,NA,NA,3,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,1,0,NA,1,0,0,NA,2,6,1
"26",615,1954,"Algerian Revolt/ National Liberation Front","Algeria",1,"French occupation","220",0,2,1,0,3,0,1,1,1,1,1,1,1,1,0,0,5,0,1,NA,NA,1,NA,NA,1,NA,1,3,1,NA,1,1,NA,NA,NA,2,NA,NA,1,NA,1,0,NA,2,0,0,NA,3,6,0
"27",615,1955,"Algerian Revolt/ National Liberation Front","Algeria",1,"French occupation","220",0,NA,1,0,3,0,0,1,1,1,1,1,1,1,0,0,5,0,1,NA,NA,1,NA,NA,1,NA,1,3,1,NA,1,1,NA,NA,NA,2,NA,NA,1,NA,1,0,NA,2,0,0,NA,3,6,0
"28",615,1961,"Algerian Revolt/ National Liberation Front","Algeria",1,"French occupation","220",0,NA,2,1,3,0,0,1,1,1,1,1,1,1,0,0,5,0,1,NA,NA,1,NA,NA,1,NA,1,3,1,NA,1,1,3,NA,NA,2,NA,NA,1,NA,1,0,NA,2,0,0,NA,3,6,0
"29",615,1956,"Algerian Revolt/ National Liberation Front","Algeria",1,"French occupation","220",0,2,2,1,3,0,0,1,1,1,1,1,1,1,0,0,5,0,1,NA,NA,1,NA,NA,1,NA,1,3,1,NA,1,1,3,NA,NA,2,NA,NA,1,NA,1,0,NA,2,0,0,NA,3,6,0
