"","title.info","date","briefs","story.link"
"1","Meeting with President of Kyrgyzstan Almazbek Atambayev",2015-02-07,"Vladimir Putin met with President of Kyrgyzstan Amlazbek Atambayev in Sochi to discuss bilateral cooperation.","http://eng.kremlin.ru/news/23571"
"2","Meeting with Angela Merkel and Francois Hollande",2015-02-07,"Vladimir Putin met with Federal Chancellor of Germany Angela Merkel and President of France Francois Hollande at the Kremlin to discuss solutions to the situation in southeast Ukraine.","http://eng.kremlin.ru/news/23569"
"3","Telephone conversation with Greek Prime Minister Alexis Tsipras",2015-02-05,"Vladimir Putin had a telephone conversation with Prime Minister of Greece Alexis Tsipras.","http://eng.kremlin.ru/news/23564"
"4","Law ratifying Russia-India agreement on transfer of convicts",2015-02-04,"Vladimir Putin signed Federal Law On Ratification of the Agreement between the Russian Federation and the Republic of India on the Transfer of Convicts.","http://eng.kremlin.ru/news/23558"
"5","Law ratifying EurAsEC termination agreement",2015-02-04,"Vladimir Putin signed Federal Law On Ratification of the Agreement on Termination of Activities of the Eurasian Economic Community (EurAsEC).","http://eng.kremlin.ru/news/23559"
"6","Law ratifying Russia-Abkhazia agreement on alliance and strategic partnership",2015-02-04,"Vladimir Putin signed Federal Law On Ratification of the Agreement between the Russian Federation and the Republic of Abkhazia on Alliance and Strategic Partnership.","http://eng.kremlin.ru/news/23562"
"7","Vladimir Putin will visit Egypt on February 9-10",2015-02-04,"The President will visit the Arab Republic of Egypt on February 9-10 at the invitation of President of Egypt Abdel Fattah el-Sisi.","http://eng.kremlin.ru/news/23555"
"8","Telephone conversation with Angela Merkel and François Hollande",2015-01-31,"Vladimir Putin had a telephone conversation with Federal Chancellor of Germany Angela Merkel and President of France Francois Hollande.","http://eng.kremlin.ru/news/23548"
"9","Congratulations to Sergio Mattarella on his election as Italy’s President",2015-01-31,"Vladimir Putin congratulated Sergio Mattarella on his election as President of the Italian Republic.","http://eng.kremlin.ru/news/23547"
"10","Meeting with permanent members of the Security Council",2015-01-30,"Vladimir Putin held a briefing session with permanent members of the Security Council.","http://eng.kremlin.ru/news/23545"
"11","Meeting with special representative of the President of Iran and international affairs advisor Ali Akbar Velayati",2015-01-28,"Vladimir Putin met in the Kremlin with Ali Akbar Velayati, special representative of the President of the Islamic Republic of Iran and advisor on international affairs to the Supreme Leader of the Islamic Republic of Iran.","http://eng.kremlin.ru/news/23538"
"12","Meeting of the Commission for Military Technology Cooperation",2015-01-27,"Vladimir Putin held a meeting of the Commission for Military Technology Cooperation with Foreign States.","http://eng.kremlin.ru/news/23534"
"13","Telephone conversations with Angela Merkel and Francois Hollande",2015-01-26,"Vladimir Putin had telephone conversations with Federal Chancellor of Germany Angela Merkel on January 25 and President of France Francois Hollande on January 26 to discuss the sharp escalation of the situation in southeast Ukraine.","http://eng.kremlin.ru/news/23528"
"14","Congratulations to President of India Pranab Mukherjee and Prime Minister of India Narendra Modi",2015-01-26,"Vladimir Putin congratulated President of India Pranab Mukherjee and Prime Minister of India Narendra Modi on India’s national holiday, Republic Day.","http://eng.kremlin.ru/news/23521"
"15","Congratulations to Alexis Tsipras on Greek parliamentary election victory",2015-01-26,"Vladimir Putin congratulated Alexis Tsipras, head of the Coalition of the Radical Left (SYRIZA) party, on his party’s victory in the Greek parliamentary election.","http://eng.kremlin.ru/news/23520"
