"","country","country.code","office","office.holder","date.last.updated","date.retrieved"
"1","Afghanistan","AF","Pres.","Ashraf GHANI Ahmadzai","11-21-2014","01-28-2015"
"2","Afghanistan","AF","CEO","Abdullah ABDULLAH","11-21-2014","01-28-2015"
"3","Afghanistan","AF","First Vice Pres.","Abdul Rashid DOSTAM","11-21-2014","01-28-2015"
"4","Afghanistan","AF","Second Vice Pres.","Sarwar DANESH","11-21-2014","01-28-2015"
"5","Afghanistan","AF","First Deputy CEO","Khyal Mohammad KHAN","11-21-2014","01-28-2015"
"6","Afghanistan","AF","Second Deputy CEO","Mohammad MOHAQQEQ","11-21-2014","01-28-2015"
"7","Afghanistan","AF","Min. of Agriculture, Irrigation, & Livestock (Acting)","Mohammad Asif RAHIMI","11-21-2014","01-28-2015"
"8","Afghanistan","AF","Min. of Border & Tribal Affairs (Acting)","Mohammad Akram KHPALWAK","11-21-2014","01-28-2015"
"9","Afghanistan","AF","Min. of Commerce & Industry (Acting)","Mohammad Shakir KARGAR","11-21-2014","01-28-2015"
"10","Afghanistan","AF","Min. of Communications (Acting)","Amirzai SANGIN","11-21-2014","01-28-2015"
"11","Afghanistan","AF","Min. of Counternarcotics (Acting)","Din Mohammad Mubarez RASHEDI","11-21-2014","01-28-2015"
"12","Afghanistan","AF","Min. of Defense (Acting)","BISMULLAH Muhammadi Khan","11-21-2014","01-28-2015"
"13","Afghanistan","AF","Min. of Economy (Acting)","Abdul Hadi ARGHANDIWAL","11-21-2014","01-28-2015"
"14","Afghanistan","AF","Min. of Education (Acting)","Faruq WARDAK","11-21-2014","01-28-2015"
"15","Afghanistan","AF","Min. of Energy & Water (Acting)","Aref NOORZAI","11-21-2014","01-28-2015"
"16","Afghanistan","AF","Min. of Finance (Acting)","Omar ZAKHILWAL","11-21-2014","01-28-2015"
"17","Afghanistan","AF","Min. of Foreign Affairs (Acting)","Ahmad Zarar MOQBEL Osmani","11-21-2014","01-28-2015"
"18","Afghanistan","AF","Min. of Hajj & Islamic Affairs (Acting)","Mohammad Yusuf NIAZI","11-21-2014","01-28-2015"
"19","Afghanistan","AF","Min. of Health (Acting)","Suraya DALIL","11-21-2014","01-28-2015"
"20","Afghanistan","AF","Min. of Higher Education (Acting)","Obaidullah OBAID","11-21-2014","01-28-2015"
"21","Afghanistan","AF","Min. of Information & Culture (Acting)","Sayed Makhdum RAHIN","11-21-2014","01-28-2015"
"22","Afghanistan","AF","Min. of Interior (Acting)","Mohammad Umer DAUDZAI","11-21-2014","01-28-2015"
"23","Afghanistan","AF","Min. of Justice (Acting)","Said Yusuf HALIM","11-21-2014","01-28-2015"
"24","Afghanistan","AF","Min. of Martyred, Disabled, Labor, & Social Affairs (Acting)","Amena AFZALI","11-21-2014","01-28-2015"
"25","Afghanistan","AF","Min. of Mines & Petroleum (Acting)","Haji Akbar BARAKZAI","11-21-2014","01-28-2015"
