"","X","title.info","date","briefs","story.link"
"1",1,"Meeting with permanent members of the Security Council","2015-02-16","Vladimir Putin held a meeting with permanent members of the Security Council.","http://eng.kremlin.ru/news/23609"
"2",2,"Telephone conversation with Angela Merkel, Francois Hollande and Petro Poroshenko","2015-02-15","Vladimir Putin had a telephone conversation with Federal Chancellor of Germany Angela Merkel, President of the French Republic Francois Hollande and President of Ukraine Petro Poroshenko.","http://eng.kremlin.ru/news/23607"
"3",3,"Telephone conversation with Angela Merkel and Francois Hollande","2015-02-14","Vladimir Putin had a telephone conversation with Federal Chancellor of Germany Angela Merkel and President of the French Republic Francois Hollande.","http://eng.kremlin.ru/news/23606"
"4",4,"Telephone conversation with President of Kazakhstan Nursultan Nazarbayev","2015-02-14","Vladimir Putin had a telephone conversation with President of Kazakhstan Nursultan Nazarbayev.","http://eng.kremlin.ru/news/23605"
"5",5,"Normandy format talks","2015-02-12","Vladimir Putin, Angela Merkel, Francois Hollande and Petro Poroshenko took part in the talks on a settlement to the situation in Ukraine. At the final stage, they were joined by Heidi Tagliavini, OSCE Special Representative to the Trilateral Contact Group on the Ukrainian Settlement.","http://eng.kremlin.ru/news/23594"
"6",6,"Vladimir Putin will take part in the Normandy format talks in Minsk","2015-02-11","The President is leaving today for Minsk, where he will take part in the Normandy format talks.","http://eng.kremlin.ru/news/23590"
"7",7,"Telephone conversation with President of the United States Barack Obama","2015-02-11","Vladimir Putin had a telephone conversation with President of the United States Barack Obama on the American side’s initiative.","http://eng.kremlin.ru/news/23588"
"8",8,"Russian-Egyptian talks","2015-02-10","Vladimir Putin met with President of the Arab Republic of Egypt Abdel Fattah el-Sisi at the Al-Qubba Palace in Tahrir Square, Cairo.","http://eng.kremlin.ru/news/23584"
"9",9,"Vladimir Putin arrived in Egypt on an official visit","2015-02-09","The President of Russia arrived in Cairo on a two-day official visit following President of Egypt Abdel Fattah el-Sisi’s invitation.","http://eng.kremlin.ru/news/23580"
"10",10,"Telephone conversation with President of Kazakhstan Nursultan Nazarbayev","2015-02-09","Vladimir Putin had a telephone conversation with President of Kazakhstan Nursultan Nazarbayev.","http://eng.kremlin.ru/news/23577"
"11",11,"Interview to Al-Ahram daily","2015-02-09","In the run-up to his visit to the Arab Republic of Egypt, Vladimir Putin gave an interview to the Al-Ahram daily newspaper.","http://eng.kremlin.ru/news/23575"
"12",12,"Meeting with President of Belarus Alexander Lukashenko","2015-02-08","Vladimir Putin met in Sochi with President of Belarus Alexander Lukashenko.","http://eng.kremlin.ru/news/23574"
"13",13,"Telephone conversation with Angela Merkel, Francois Hollande and Petro Poroshenko","2015-02-08",NA,"http://eng.kremlin.ru/news/23573"
"14",14,"Meeting with President of Kyrgyzstan Almazbek Atambayev","2015-02-07","Vladimir Putin met with President of Kyrgyzstan Amlazbek Atambayev in Sochi to discuss bilateral cooperation.","http://eng.kremlin.ru/news/23571"
"15",15,"Meeting with Angela Merkel and Francois Hollande","2015-02-07","Vladimir Putin met with Federal Chancellor of Germany Angela Merkel and President of France Francois Hollande at the Kremlin to discuss solutions to the situation in southeast Ukraine.","http://eng.kremlin.ru/news/23569"
"16",16,"Telephone conversation with Greek Prime Minister Alexis Tsipras","2015-02-05","Vladimir Putin had a telephone conversation with Prime Minister of Greece Alexis Tsipras.","http://eng.kremlin.ru/news/23564"
"17",17,"Law ratifying Russia-India agreement on transfer of convicts","2015-02-04","Vladimir Putin signed Federal Law On Ratification of the Agreement between the Russian Federation and the Republic of India on the Transfer of Convicts.","http://eng.kremlin.ru/news/23558"
"18",18,"Law ratifying EurAsEC termination agreement","2015-02-04","Vladimir Putin signed Federal Law On Ratification of the Agreement on Termination of Activities of the Eurasian Economic Community (EurAsEC).","http://eng.kremlin.ru/news/23559"
"19",19,"Law ratifying Russia-Abkhazia agreement on alliance and strategic partnership","2015-02-04","Vladimir Putin signed Federal Law On Ratification of the Agreement between the Russian Federation and the Republic of Abkhazia on Alliance and Strategic Partnership.","http://eng.kremlin.ru/news/23562"
"20",20,"Vladimir Putin will visit Egypt on February 9-10","2015-02-04","The President will visit the Arab Republic of Egypt on February 9-10 at the invitation of President of Egypt Abdel Fattah el-Sisi.","http://eng.kremlin.ru/news/23555"
"21",21,"Telephone conversation with Angela Merkel and François Hollande","2015-01-31","Vladimir Putin had a telephone conversation with Federal Chancellor of Germany Angela Merkel and President of France Francois Hollande.","http://eng.kremlin.ru/news/23548"
"22",22,"Congratulations to Sergio Mattarella on his election as Italy’s President","2015-01-31","Vladimir Putin congratulated Sergio Mattarella on his election as President of the Italian Republic.","http://eng.kremlin.ru/news/23547"
"23",23,"Meeting with permanent members of the Security Council","2015-01-30","Vladimir Putin held a briefing session with permanent members of the Security Council.","http://eng.kremlin.ru/news/23545"
"24",24,"Meeting with special representative of the President of Iran and international affairs advisor Ali Akbar Velayati","2015-01-28","Vladimir Putin met in the Kremlin with Ali Akbar Velayati, special representative of the President of the Islamic Republic of Iran and advisor on international affairs to the Supreme Leader of the Islamic Republic of Iran.","http://eng.kremlin.ru/news/23538"
"25",25,"Meeting of the Commission for Military Technology Cooperation","2015-01-27","Vladimir Putin held a meeting of the Commission for Military Technology Cooperation with Foreign States.","http://eng.kremlin.ru/news/23534"
"26",26,"Telephone conversations with Angela Merkel and Francois Hollande","2015-01-26","Vladimir Putin had telephone conversations with Federal Chancellor of Germany Angela Merkel on January 25 and President of France Francois Hollande on January 26 to discuss the sharp escalation of the situation in southeast Ukraine.","http://eng.kremlin.ru/news/23528"
"27",27,"Congratulations to President of India Pranab Mukherjee and Prime Minister of India Narendra Modi","2015-01-26","Vladimir Putin congratulated President of India Pranab Mukherjee and Prime Minister of India Narendra Modi on India’s national holiday, Republic Day.","http://eng.kremlin.ru/news/23521"
"28",28,"Congratulations to Alexis Tsipras on Greek parliamentary election victory","2015-01-26","Vladimir Putin congratulated Alexis Tsipras, head of the Coalition of the Radical Left (SYRIZA) party, on his party’s victory in the Greek parliamentary election.","http://eng.kremlin.ru/news/23520"
"29",29,"Instructions following Russian Popular Front’s Action Forum","2015-01-25","Vladimir Putin signed a list of instructions following the Action Forum 2 conference of the Russian Popular Front people’s movement, held on November 18, 2014.","http://eng.kremlin.ru/acts/23543"
